Image,Valences
E15_CT_N_c01.jpg,0.0
E15_CT_N_c02.jpg,-0.055625
E15_CT_N_c03.jpg,-0.046875
E15_CT_N_c04.jpg,-0.0734374999999999
E15_CT_N_c05.jpg,-0.218125
E15_CT_N_c06.jpg,-0.2337499999999999
E15_CT_N_c07.jpg,-0.3878125
E15_CT_N_c08.jpg,-0.3165625
E15_CT_N_c09.jpg,-0.2828125
E15_CT_N_c10.jpg,-0.3834375
E15_CT_N_c11.jpg,-0.3546875
E15_CT_N_c12.jpg,-0.3159375
E15_CT_N_c13.jpg,-0.3171875
E15_CT_N_c14.jpg,-0.3446875
E15_CT_N_c15.jpg,-0.3715625000000001
E15_CT_N_c16.jpg,-0.305
E15_CT_N_c17.jpg,-0.2609375
E15_CT_N_c18.jpg,-0.38625
E15_CT_N_c19.jpg,-0.37
E15_CT_N_c20.jpg,-0.4065625
E15_CT_N_c21.jpg,-0.39875
