Image,Valences
E07_CT_M_c01.jpg,0.0
E07_CT_M_c02.jpg,-0.0761904761904762
E07_CT_M_c03.jpg,-0.1259523809523809
E07_CT_M_c04.jpg,-0.245952380952381
E07_CT_M_c05.jpg,-0.315
E07_CT_M_c06.jpg,-0.3930952380952381
E07_CT_M_c07.jpg,-0.3702380952380953
E07_CT_M_c08.jpg,-0.3419047619047618
E07_CT_M_c09.jpg,-0.3149999999999999
E07_CT_M_c10.jpg,-0.2969047619047619
E07_CT_M_c11.jpg,-0.2416666666666667
E07_CT_M_c12.jpg,-0.2633333333333333
E07_CT_M_c13.jpg,-0.284047619047619
E07_CT_M_c14.jpg,-0.3299999999999999
E07_CT_M_c15.jpg,-0.3516666666666667
E07_CT_M_c16.jpg,-0.3726190476190476
E07_CT_M_c17.jpg,-0.3607142857142856
E07_CT_M_c18.jpg,-0.3457142857142857
