Image,Valences
E07_CT_P_c01.jpg,0.0
E07_CT_P_c02.jpg,-0.0660869565217391
E07_CT_P_c03.jpg,-0.1191304347826086
E07_CT_P_c04.jpg,-0.1632608695652173
E07_CT_P_c05.jpg,-0.1382608695652174
E07_CT_P_c06.jpg,-0.1089130434782608
E07_CT_P_c07.jpg,-0.1665217391304348
E07_CT_P_c08.jpg,-0.1345652173913043
E07_CT_P_c09.jpg,-0.0656521739130434
E07_CT_P_c10.jpg,0.0267391304347826
E07_CT_P_c11.jpg,0.3513043478260869
E07_CT_P_c12.jpg,0.3295652173913044
E07_CT_P_c13.jpg,0.391304347826087
E07_CT_P_c14.jpg,0.2469565217391304
E07_CT_P_c15.jpg,0.2210869565217391
E07_CT_P_c16.jpg,0.1763043478260869
E07_CT_P_c17.jpg,0.1271739130434782
E07_CT_P_c18.jpg,0.0815217391304347
E07_CT_P_c19.jpg,0.0697826086956522
