Image,Valences
E12_CT_M_c01.jpg,0.0
E12_CT_M_c02.jpg,0.0678571428571428
E12_CT_M_c03.jpg,0.1314285714285714
E12_CT_M_c04.jpg,0.1296428571428571
E12_CT_M_c05.jpg,0.0967857142857143
E12_CT_M_c06.jpg,0.0292857142857142
E12_CT_M_c07.jpg,-0.2275
E12_CT_M_c08.jpg,-0.1817857142857142
E12_CT_M_c09.jpg,-0.2157142857142857
E12_CT_M_c10.jpg,-0.2707142857142857
E12_CT_M_c11.jpg,-0.2771428571428571
E12_CT_M_c12.jpg,-0.1910714285714285
E12_CT_M_c13.jpg,-0.1896428571428571
E12_CT_M_c14.jpg,-0.2117857142857143
E12_CT_M_c15.jpg,-0.1364285714285714
E12_CT_M_c16.jpg,-0.1153571428571428
E12_CT_M_c17.jpg,-0.1499999999999999
E12_CT_M_c18.jpg,-0.2185714285714285
E12_CT_M_c19.jpg,-0.1764285714285714
E12_CT_M_c20.jpg,-0.1753571428571429
