Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E05_CT_P_c01.jpg,0.0,0.0,0.0,0.0,0.93,0.3,0.55,0.0,0.0,0.0,0.0,0.0
E05_CT_P_c02.jpg,0.0,0.0,0.0,0.0,0.98,0.26,0.64,0.0,0.0,0.0,0.0,0.0
E05_CT_P_c03.jpg,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
E05_CT_P_c04.jpg,0.0,0.0,0.0,0.0,1.74,2.09,1.68,0.29,0.0,0.0,0.0,0.0
E05_CT_P_c05.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E05_CT_P_c06.jpg,0.0,0.0,0.0,0.0,0.19,0.0,0.86,0.55,0.0,0.0,0.0,0.0
E05_CT_P_c07.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E05_CT_P_c08.jpg,0.0,0.0,0.23,0.0,0.28,0.7,0.89,0.83,0.0,0.0,0.0,0.0
E05_CT_P_c09.jpg,0.0,0.0,0.0,0.0,0.08,0.1,0.39,0.0,0.0,0.0,0.0,0.0
E05_CT_P_c10.jpg,0.0,0.0,0.0,0.0,1.19,1.03,0.87,0.49,0.0,0.0,0.0,0.0
E05_CT_P_c11.jpg,0.0,0.0,0.0,0.0,0.21,0.99,0.65,0.69,0.0,0.0,0.0,0.0
E05_CT_P_c12.jpg,0.0,0.0,0.0,0.0,0.11,0.07,0.79,0.0,0.0,0.0,0.0,0.0
E05_CT_P_c13.jpg,0.0,0.0,0.0,0.0,0.72,0.98,0.61,0.68,0.0,0.0,0.0,0.0
E05_CT_P_c14.jpg,0.0,0.0,0.62,0.0,0.25,0.0,0.51,0.26,0.0,0.0,0.0,0.0
E05_CT_P_c15.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
