Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E13_CT_M_c01.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.09,1.86,0.0,0.0,0.0,0.0
E13_CT_M_c02.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
E13_CT_M_c03.jpg,0.0,0.0,0.0,0.0,0.35,0.0,0.89,0.9,0.0,0.0,0.0,0.0
E13_CT_M_c04.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.87,0.0,0.0,0.0,0.0
E13_CT_M_c05.jpg,0.0,0.0,0.0,0.0,1.27,0.0,2.28,1.64,0.0,0.0,0.0,0.0
E13_CT_M_c06.jpg,0.0,0.0,0.0,0.0,0.95,0.0,2.24,1.8,0.0,0.0,0.0,0.0
E13_CT_M_c07.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.8,0.0,0.0,0.0,0.0
E13_CT_M_c08.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.36,0.0,0.0,0.0,0.0
E13_CT_M_c09.jpg,0.0,0.0,0.0,0.0,0.65,0.0,2.08,1.94,0.0,0.0,0.0,0.0
E13_CT_M_c10.jpg,0.0,0.0,0.0,0.0,0.13,0.0,1.65,1.51,0.0,0.0,0.0,0.0
E13_CT_M_c11.jpg,0.0,0.0,0.08,0.0,0.84,0.0,2.25,1.72,0.0,0.0,0.0,0.0
