Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E07_CT_M_c01.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c02.jpg,0.0,0.0,0.0,0.0,1.52,2.04,1.54,1.57,0.0,0.0,0.0,0.0
E07_CT_M_c03.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.76,0.0,0.0,0.0,0.0
E07_CT_M_c04.jpg,0.0,0.0,0.0,0.0,0.17,0.0,1.21,1.05,0.0,0.0,0.0,0.0
E07_CT_M_c05.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c06.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c07.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c08.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c09.jpg,0.0,0.0,1.92,0.0,0.45,0.24,0.0,0.82,0.0,0.0,0.0,0.0
E07_CT_M_c10.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c11.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c12.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c13.jpg,0.0,0.0,0.61,0.0,0.57,2.52,0.9,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c14.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c15.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c16.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E07_CT_M_c17.jpg,0.0,0.0,1.68,0.0,1.14,2.26,0.74,0.28,0.0,0.0,0.0,0.0
E07_CT_M_c18.jpg,0.0,0.0,0.0,0.0,2.89,2.64,2.75,1.61,0.0,0.0,0.0,0.0
