Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E08_CT_M_c01.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.27,0.0,0.0,0.0,0.0
E08_CT_M_c02.jpg,0.0,0.0,0.32,0.0,0.04,0.08,0.76,0.51,0.0,0.0,0.0,0.0
E08_CT_M_c03.jpg,0.0,0.0,0.0,0.0,0.67,0.09,1.26,0.88,0.0,0.0,0.0,0.0
E08_CT_M_c04.jpg,0.0,0.0,0.39,0.0,0.54,0.14,1.29,0.87,0.0,0.0,0.0,0.0
E08_CT_M_c05.jpg,0.0,0.0,0.51,0.0,0.14,0.0,1.0,0.74,0.0,0.0,0.0,0.0
E08_CT_M_c06.jpg,0.0,0.0,0.0,0.0,0.58,0.0,1.43,0.82,0.0,0.0,0.0,0.0
E08_CT_M_c07.jpg,0.0,0.0,0.55,0.0,1.24,0.61,1.42,0.74,0.0,0.0,0.0,0.0
E08_CT_M_c08.jpg,0.0,0.0,0.0,0.0,0.61,0.0,1.96,0.36,0.0,0.0,0.0,0.0
E08_CT_M_c09.jpg,0.0,0.0,1.25,0.0,0.48,1.58,0.4,0.79,0.0,0.0,0.0,0.0
E08_CT_M_c10.jpg,0.0,0.0,1.09,0.0,0.7,0.4,1.2,0.61,0.0,0.0,0.0,0.0
E08_CT_M_c11.jpg,0.0,0.0,0.27,0.0,0.54,0.0,1.61,1.1,0.0,0.0,0.0,0.0
E08_CT_M_c12.jpg,0.0,0.0,1.85,0.0,0.23,1.19,0.33,1.43,0.0,0.0,0.0,0.0
E08_CT_M_c13.jpg,0.0,0.0,0.64,0.0,0.9,0.0,1.93,0.21,0.0,0.0,0.0,0.0
E08_CT_M_c14.jpg,0.0,0.0,0.0,0.0,0.6,0.0,0.94,0.73,0.0,0.0,0.0,0.0
E08_CT_M_c15.jpg,0.0,0.0,0.0,0.0,0.09,0.0,1.04,0.79,0.0,0.0,0.0,0.0
E08_CT_M_c16.jpg,0.0,0.0,0.13,0.0,0.64,0.0,1.4,1.15,0.0,0.0,0.0,0.0
