Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E05_CT_N_c01.jpg,0.0,0.0,0.0,0.0,0.34,0.81,0.78,0.25,0.0,0.0,0.0,0.0
E05_CT_N_c02.jpg,0.0,0.0,0.0,0.0,0.82,0.0,0.44,0.48,0.0,0.0,0.0,0.0
E05_CT_N_c03.jpg,0.0,0.0,0.0,0.0,1.4,0.89,0.9,0.45,0.0,0.0,0.0,0.0
E05_CT_N_c04.jpg,0.0,0.0,0.0,0.0,0.72,0.75,0.88,0.5,0.0,0.0,0.0,0.0
E05_CT_N_c05.jpg,0.0,0.0,0.0,0.0,0.72,1.31,0.98,0.14,0.0,0.0,0.0,0.0
E05_CT_N_c06.jpg,0.0,0.0,0.0,0.0,1.01,0.51,0.8,0.21,0.0,0.0,0.0,0.0
E05_CT_N_c07.jpg,0.0,0.0,0.0,0.0,0.93,0.74,1.01,0.0,0.0,0.0,0.0,0.0
E05_CT_N_c08.jpg,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.8,0.0,0.0,0.0,0.0
E05_CT_N_c09.jpg,0.0,0.0,0.0,0.0,0.0,0.1,0.58,0.81,0.0,0.0,0.0,0.0
E05_CT_N_c10.jpg,0.0,0.0,0.0,0.0,0.86,1.73,0.34,0.3,0.0,0.0,0.0,0.0
