Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E16_CT_P_c01.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E16_CT_P_c02.jpg,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0
E16_CT_P_c03.jpg,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0
E16_CT_P_c04.jpg,0.0,0.0,0.54,0.0,0.0,0.0,0.16,0.79,0.0,0.0,0.0,0.0
E16_CT_P_c05.jpg,0.0,0.0,1.24,0.0,0.0,1.19,0.82,1.74,0.0,0.0,0.0,0.0
E16_CT_P_c06.jpg,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0
E16_CT_P_c07.jpg,0.0,0.0,0.34,0.0,0.0,0.07,0.12,1.21,0.0,0.0,0.0,0.0
E16_CT_P_c08.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.94,0.0,0.0,0.0,0.0
E16_CT_P_c09.jpg,0.0,0.0,0.96,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0
E16_CT_P_c10.jpg,0.0,0.0,1.66,0.0,0.22,0.86,0.89,1.57,0.0,0.0,0.0,0.0
E16_CT_P_c11.jpg,0.0,0.0,0.56,0.0,0.0,0.0,0.53,0.94,0.0,0.0,0.0,0.0
