Image,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r
E04_CT_M_c01.jpg,0.0,0.0,1.55,0.0,0.39,0.0,1.2,2.05,0.0,0.0,0.0,0.0
E04_CT_M_c02.jpg,0.0,0.0,0.95,0.0,2.29,0.0,2.98,2.54,0.0,0.0,0.0,0.0
E04_CT_M_c03.jpg,0.0,0.0,0.14,0.0,1.19,0.0,2.47,2.12,0.0,0.0,0.0,0.0
E04_CT_M_c04.jpg,0.0,0.0,0.45,0.0,1.46,0.0,2.49,1.93,0.0,0.0,0.0,0.0
E04_CT_M_c05.jpg,0.0,0.0,0.52,0.0,1.54,0.0,2.4,1.91,0.0,0.0,0.0,0.0
E04_CT_M_c06.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E04_CT_M_c07.jpg,0.0,0.0,0.45,0.0,2.06,0.0,2.52,1.47,0.0,0.0,0.0,0.0
E04_CT_M_c08.jpg,0.0,0.0,0.51,0.0,0.86,0.0,2.27,2.07,0.0,0.0,0.0,0.0
E04_CT_M_c09.jpg,0.0,0.0,0.47,0.0,0.63,0.0,1.52,2.31,0.0,0.0,0.0,0.0
E04_CT_M_c10.jpg,0.0,0.0,0.3,0.0,0.23,0.0,1.64,2.32,0.0,0.0,0.0,0.0
E04_CT_M_c11.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.17,2.0,0.0,0.0,0.0,0.0
E04_CT_M_c12.jpg,0.0,0.0,0.21,0.0,1.23,0.0,2.69,1.94,0.0,0.0,0.0,0.0
E04_CT_M_c13.jpg,0.0,0.0,0.0,0.0,1.0,0.0,2.44,2.57,0.0,0.0,0.0,0.0
